date,Bali vacation,Bali travel,Bali hotel
2012-06-10,2,11,65
2012-06-17,1,10,69
2012-06-24,2,10,72
2012-07-01,1,11,68
2012-07-08,2,12,72
2012-07-15,2,11,68
2012-07-22,1,10,76
2012-07-29,2,10,75
2012-08-05,2,10,68
2012-08-12,2,11,70
2012-08-19,1,11,69
2012-08-26,1,12,67
2012-09-02,1,11,64
2012-09-09,1,12,68
2012-09-16,2,11,62
2012-09-23,1,10,61
2012-09-30,1,9,58
2012-10-07,1,11,56
2012-10-14,1,10,58
2012-10-21,2,9,57
2012-10-28,1,9,56
2012-11-04,1,10,57
2012-11-11,1,9,54
2012-11-18,1,9,54
2012-11-25,1,8,56
2012-12-02,1,9,55
2012-12-09,1,8,52
2012-12-16,1,8,55
2012-12-23,2,9,63
2012-12-30,1,10,61
2013-01-06,2,11,59
2013-01-13,2,10,60
2013-01-20,1,10,60
2013-01-27,1,10,53
2013-02-03,1,9,55
2013-02-10,1,9,53
2013-02-17,2,9,59
2013-02-24,1,9,58
2013-03-03,2,10,57
2013-03-10,1,10,59
2013-03-17,1,11,61
2013-03-24,1,8,58
2013-03-31,1,10,61
2013-04-07,1,10,60
2013-04-14,1,10,60
2013-04-21,1,10,62
2013-04-28,1,9,61
2013-05-05,1,9,60
2013-05-12,1,9,58
2013-05-19,1,10,61
2013-05-26,1,10,67
2013-06-02,1,9,61
2013-06-09,1,10,64
2013-06-16,1,10,67
2013-06-23,1,11,72
2013-06-30,2,10,65
2013-07-07,1,10,69
2013-07-14,2,10,67
2013-07-21,1,10,69
2013-07-28,1,10,73
2013-08-04,1,10,66
2013-08-11,1,10,66
2013-08-18,1,10,68
2013-08-25,2,11,67
2013-09-01,1,10,56
2013-09-08,1,9,61
2013-09-15,1,10,61
2013-09-22,1,9,59
2013-09-29,1,9,54
2013-10-06,1,10,60
2013-10-13,1,10,61
2013-10-20,1,9,56
2013-10-27,1,9,58
2013-11-03,1,9,58
2013-11-10,1,10,52
2013-11-17,1,12,52
2013-11-24,1,10,57
2013-12-01,1,10,53
