month,wisman,wisnus,usd_idr_avg,tpk_bintang,tpk_non_bintang,tpk_change_mom,tpk_ma3,lama_menginap_bintang,lama_menginap_non_bintang,inflasi_processed,indonesia_total,bali_share_pct,avg_sentiment_monthly,pct_negative_monthly,pct_positive_monthly,pct_neutral_monthly,wisman_growth_mom,wisnus_growth_mom,wisman_growth_yoy,wisman_ma3,wisman_ma6,wisman_zscore,is_anomaly,usd_volatility_3m,usd_change_mom,month_num,is_peak_season,is_covid_period,bali_share_change,wisman_precovid_mean,wisman_lag_1,wisman_lag_3,tpk_lag_1,sentiment_lag_1,wisman_trend_3m,sentiment_trend_3m,usd_trend_3m,is_postcovid,wisman_recovery_pct,crisis_component_tourism,crisis_component_economy,crisis_component_sentiment,external_risk_avg,external_risk_max,external_risk_range,physical_risk_score,media_risk_score,tourist_perception_score,external_risk_score,crisis_score,crisis_score_100,crisis_level
2009-11,184803,285526.0,9275.357142857143,49.444,29.14,-9.77599999999999,56.87466666666666,3.442,2.58,2.41,6323730.0,37.72,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,-0.16485299301343992,-0.13565237923696105,0.09668764827623111,208176.0,215424.5,,0,0.0,0.0,11,0,0,0.0,501206.1666666667,221282.0,232255.0,59.21999999999999,0.4701136350631714,-16819.999999999978,0.15528886867510888,7.18995241055243e-13,0,36.87,0.49654337485009525,0.18924211974827276,0.2885265071045953,0.3506386707312571,0.6708522409398894,0.6567577827069504,0.1970487917750699,0.014094458232939,0.5957057164585098,0.3506386707312571,0.369735433476322,36.9735433476322,WASPADA
2009-12,222546,365948.0,9275.357142857143,54.580000000000005,33.76,5.136000000000003,54.41466666666667,3.338,2.36,2.78,6323730.0,37.72,-0.4972420036792755,100.0,0.0,0.0,0.2042336975049106,0.2816626156637223,0.09668764827623111,209543.66666666666,219087.83333333334,0.8608478672854406,0,0.0,0.0,12,1,0,0.0,501206.1666666667,184803.0,218443.0,49.444,0.3105777373502177,632.0000000000289,-0.4836778193712235,7.18995241055243e-13,0,44.4,0.2329455814038094,0.16356211974827273,0.8994484007358551,0.3753596504721835,0.7336358550382297,0.6133833009958947,0.1269910008310394,0.120252554042335,0.6270975235076799,0.3753596504721835,0.3107328117368046,31.07328117368046,WASPADA
2010-01,179273,349575.0,9275.357142857143,49.938,31.98,-4.642000000000003,51.320666666666675,3.936,2.59,3.72,7002944.0,36.79,0.3965566158294678,0.0,100.0,0.0,-0.19444519335328425,-0.044741329369199945,0.027111108564749742,195540.66666666666,209767.0,-0.7286539176670189,0,0.0,0.0,1,0,0,-0.9299999999999997,501206.1666666667,222546.0,221282.0,54.580000000000005,-0.4972420036792755,-2764.999999999963,0.042989439239625074,7.18995241055243e-13,0,35.77,0.5905432017324291,0.18677211974827276,0.12068867683410645,0.2233961255861803,0.6091875427363711,0.5968005643894154,0.1653241942909732,0.1066857869704213,0.3107872605416634,0.2233961255861803,0.369185563517308,36.9185563517308,WASPADA
2010-02,191926,238789.0,9336.725,53.016,32.84,3.077999999999996,52.51133333333333,3.732,2.63,3.81,7002944.0,36.79,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,0.07057950723198703,-0.31691625545305013,0.29939608947624974,197915.0,203045.5,-0.4911437957398073,0,35.43074884101887,0.006616225790304631,2,0,0,0.0,501206.1666666667,179273.0,184803.0,49.938,0.3965566158294678,-15309.999999999982,0.4039098705147466,30.683928571429878,0,38.29,0.3775143638209646,0.2482058196680083,0.2885265071045953,0.2296454754690374,0.6456766333063965,0.6332896549594408,0.184744853185574,0.0757734370372237,0.32903180582667607,0.2296454754690374,0.30671466444070317,30.671466444070315,WASPADA
2010-03,192579,202995.0,9166.804347826086,55.53800000000001,34.98,2.5220000000000127,52.83066666666667,3.87,2.59,3.43,7002944.0,36.79,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,0.003402352990214963,-0.14989802712855282,0.1449065128860616,187926.0,198734.83333333334,-0.6225898849907916,0,86.0452896585753,-0.018199170712847823,3,0,0,0.0,501206.1666666667,191926.0,222546.0,53.016,0.3105777373502177,6653.00000000003,-0.042989439239625026,-54.27639751552691,0,38.42,0.4386361826618768,0.1428066390205469,0.2885265071045953,0.2001738348055111,0.5940821781562753,0.5816951998093196,0.1175154216335545,0.0767107610852589,0.3032345782516155,0.2001738348055111,0.301975359624543,30.197535962454303,WASPADA
2010-04,184907,396898.0,9027.818181818182,56.62400000000001,35.29,1.0859999999999985,55.05933333333334,3.67,2.56,3.91,7002944.0,36.79,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,-0.03983819627269847,0.9552107194758492,-0.020495190066533886,189804.0,192672.33333333334,-0.9791888202010125,0,154.71134665132567,-0.015161899472727947,4,0,0,0.0,501206.1666666667,192579.0,179273.0,55.53800000000001,0.3105777373502177,-3509.4999999999795,3.1971985790353577e-17,-154.453409090908,0,36.89,0.5051780171087604,0.22842808900818162,0.2885265071045953,0.2367445890128225,0.5810281593833531,0.5686411810363974,0.1500041910002841,0.2035590273206973,0.29670756886515437,0.2367445890128225,0.36063869846401164,36.06386984640116,WASPADA
2010-05,203388,421369.0,9167.333333333334,59.136,35.32,2.5119999999999933,57.09933333333334,3.4120000000000004,2.61,4.16,7002944.0,36.79,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,0.09994754119638527,0.06165563948420005,0.06595808242008783,193624.66666666666,195769.83333333334,-0.1127207154215745,0,80.39684039141918,0.015453916849603067,5,0,0,0.0,501206.1666666667,184907.0,191926.0,56.62400000000001,0.3105777373502177,5404.500000000018,3.1971985790353577e-17,0.26449275362507535,0,40.58,0.3186977179174643,0.3177105320122206,0.2885265071045953,0.1927228417941984,0.5253931746130418,0.5130061962660861,0.1773796714090252,0.0557315428077711,0.26889007647999874,0.1927228417941984,0.29023882513521326,29.023882513521325,AMAN
2010-06,228045,455456.0,9137.431818181818,58.828,38.77,-0.30799999999999983,58.196000000000005,3.646,2.4,5.05,7002944.0,36.79,0.4073807299137115,0.0,50.0,50.0,0.12123134108206979,0.08089584188680221,0.13700726942752017,205446.66666666666,196686.33333333334,0.9813969442656519,0,73.45489249363908,-0.00326174625316511,6,0,0,0.0,501206.1666666667,203388.0,192579.0,59.136,0.3105777373502177,21569.000000000047,0.048401496281746954,54.806818181817896,0,45.5,0.2922249826013315,0.20124117466744512,0.1185238540172577,0.1992069222546757,0.5670417106980792,0.5546547323511235,0.1422397026847601,0.0751592972889079,0.28971434452251743,0.1992069222546757,0.2335053056901214,23.35053056901214,AMAN
2010-07,254907,489307.0,9040.818181818182,68.034,43.73,9.206000000000003,61.99933333333333,3.66,2.54,6.22,7002944.0,36.79,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,0.117792540945866,0.0743233155343217,0.08379748127109932,228780.0,209292.0,1.931166574248771,0,66.12409911505286,-0.01057339067322971,7,1,0,0.0,501206.1666666667,228045.0,184907.0,58.828,0.4073807299137115,25759.5,1.5827924113874783e-17,-63.25757575757552,0,50.86,0.29468093712717225,0.1443614774500759,0.2885265071045953,0.196089087384391,0.5350282837073413,0.5226413053603857,0.1593777572176062,0.077563330265661,0.2737076310271485,0.196089087384391,0.23676725925708422,23.67672592570842,AMAN
2010-08,243154,377570.0,8971.977272727272,61.176,42.35,-6.858000000000004,62.67933333333334,2.9880000000000004,2.64,6.44,7002944.0,36.79,0.3105777373502177,25.10700909577314,68.1660100199426,6.726980884284255,-0.046107011576771106,-0.2283576568493808,0.04692686917396838,242035.33333333334,217830.0,1.3278426161853523,0,83.11485237052199,-0.007614455650635121,8,1,0,0.0,501206.1666666667,254907.0,203388.0,68.034,0.3105777373502177,7554.500000000023,-0.0484014962817469,-82.72727272727131,0,48.51,0.41173625638326644,0.1799380989494379,0.2885265071045953,0.165955703830578,0.4488095978118976,0.4364226194649419,0.1250331284389611,0.0775931107244978,0.23059828807942664,0.165955703830578,0.29230963158640455,29.230963158640456,AMAN
