month,wisman,wisnus,usd_idr_avg,tpk_bintang,tpk_non_bintang,tpk_change_mom,tpk_ma3,lama_menginap_bintang,lama_menginap_non_bintang,inflasi_processed,indonesia_total,bali_share_pct,avg_sentiment_monthly,pct_negative_monthly,pct_positive_monthly,pct_neutral_monthly,wisman_growth_mom,wisnus_growth_mom,wisman_growth_yoy,wisman_ma3,wisman_ma6,wisman_zscore,is_anomaly,usd_volatility_3m,usd_change_mom,month_num,is_peak_season,is_covid_period,bali_share_change,wisman_precovid_mean,wisman_lag_1,wisman_lag_3,tpk_lag_1,sentiment_lag_1,wisman_trend_3m,sentiment_trend_3m,usd_trend_3m,is_postcovid,wisman_recovery_pct,crisis_component_tourism,crisis_component_economy,crisis_component_sentiment,gdelt_crisis_score,economic_risk_score,disaster_risk_score,external_risk_avg,external_risk_max,external_risk_range,crisis_score,crisis_score_100,crisis_level,physical_risk_score,media_risk_score,tourist_perception_score,external_risk_score
2022-07,246504,784205.0,14977.0,38.938,37.72,-2.4099999999999966,39.322666666666656,1.95,2.38,4.94,5889031.0,36.61,0.417769219968226,19.480519480519483,74.67532467532467,5.844155844155844,0.3572140399174122,0.0401879807456357,0.0966876482762311,181246.66666666663,103000.83333333331,2.302383219943786,0,188.86689702539732,0.0189029486656171,7,1,0,0.0,501206.1666666667,181625.0,58335.0,41.348,0.4164594200431791,65446.50000000003,-0.0317010042777696,180.26666666666893,1,49.18,0.1236886460102321,0.5545597216771788,0.2333292728894717,0.3632346773414114,0.2048010844294228,0.125486925127012,0.2908046786866049,0.4696960278485734,0.3442091027215613,0.2757936841501673,27.57936841501673,AMAN,0.125486925127012,0.3632346773414114,0.33724855613899807,0.2908046786866049
2022-08,276659,659567.0,14839.09090909091,42.934000000000005,37.72,3.996000000000002,41.07333333333332,1.912,2.38,4.69,5889031.0,36.61,0.3633165329159377,23.95209580838324,71.25748502994011,4.790419161676647,0.1223306721189108,-0.158935482431252,0.0966876482762311,234929.3333333333,148892.33333333334,1.930384909431524,0,138.9298182748704,-0.0092080584168451,8,1,0,0.0,501206.1666666667,246504.0,115611.0,38.938,0.417769219968226,47517.00000000004,-0.0265714435636207,69.97402597402682,1,55.2,0.2914398520533529,0.3152678562348596,0.2710492682671119,0.3429263495074653,0.2048010844294228,0.1299665306557709,0.280802244178562,0.4455150121215889,0.315548481465818,0.2932302731451472,29.323027314514725,AMAN,0.1299665306557709,0.3429263495074653,0.3251580482755059,0.280802244178562
2022-09,291162,622068.0,14983.09090909091,47.268,37.72,4.333999999999996,43.04666666666666,2.1420000000000003,2.38,5.95,5889031.0,36.61,0.4049601637265261,19.411764705882355,73.52941176470588,7.0588235294117645,0.0524219345837293,-0.0568539663142637,0.0966876482762311,271441.6666666667,194982.66666666663,1.6210288980686125,0,81.43710919894512,0.009704098511303,9,0,0,0.0,501206.1666666667,276659.0,181625.0,42.934000000000005,0.3633165329159377,22329.000000000044,-0.0064045281208498,3.0454545454583952,1,58.09,0.3413679297388666,0.3441735859814072,0.2354785554899889,0.2961064072070654,0.2048010844294228,0.1339669115684223,0.2828405626337632,0.4964878473301424,0.36252093576172,0.3197749329535933,31.97749329535933,WASPADA,0.1339669115684223,0.2961064072070654,0.3506444658797826,0.2828405626337632
2022-10,305244,718066.0,15433.42857142857,47.264,37.72,-0.0039999999999977,45.822,2.26,2.38,5.71,5889031.0,36.61,0.4894222852604165,15.469613259668508,80.66298342541437,3.867403314917127,0.0483648278278072,0.1543207495000547,152621.0,291021.6666666667,236134.16666666663,1.415043298414643,0,310.04764875523324,0.0300563925741397,10,0,0,0.0,501206.1666666667,291162.0,246504.0,47.268,0.4049601637265261,14292.500000000058,0.0630528761722394,297.16883116883105,1,60.9,0.3442654722840478,0.6937464839136324,0.1949332225059277,0.3241263824212131,0.2048010844294228,0.1841382550856392,0.3092417521723885,0.5239012867532791,0.3397630316676399,0.4096977561913001,40.96977561913001,WASPADA,0.1841382550856392,0.3241263824212131,0.36435118559135093,0.3092417521723885
2022-11,287398,657949.0,15661.181818181818,49.898,37.72,2.6340000000000003,48.14333333333333,2.486,2.38,5.42,5889031.0,36.61,0.4909761520507543,14.130434782608695,82.06521739130434,3.804347826086957,-0.0584647036469185,-0.0837207164801007,47898.66666666666,294601.3333333333,264765.3333333333,1.0755114298339377,0,345.08038496299486,0.0147571387458831,11,0,0,0.0,501206.1666666667,305244.0,276659.0,47.264,0.4894222852604165,-1881.9999999999463,0.0430079941621141,339.0454545454541,1,57.34,0.4205619887801857,0.6415555725492135,0.1865873782855013,0.3046212074960153,0.2048010844294228,0.2380006018147918,0.3204573893765008,0.5344066637657736,0.3296055793363508,0.4323920037922373,43.23920037922373,WASPADA,0.2380006018147918,0.3046212074960153,0.3696038740975982,0.3204573893765008
2022-12,377276,930917.0,15597.363636363636,53.818000000000005,37.72,3.9200000000000017,50.32666666666666,2.294,2.38,5.51,5889031.0,36.61,0.4974040858361913,13.79310344827586,79.88505747126436,6.321839080459771,0.3127300816289604,0.4148771409334157,0.0966876482762311,323306.0,297373.8333333333,1.4551904489612029,0,117.48688384354166,-0.0040749275858665,12,1,0,0.0,501206.1666666667,287398.0,291162.0,49.898,0.4909761520507543,36016.00000000002,0.0039909002878874,81.96753246753255,1,75.27,0.1554586164530148,0.2683598583282769,0.1832778035224169,0.3730827095738144,0.2048010844294228,0.2021354318489436,0.3161740735731341,0.4846770684403556,0.2825416365914119,0.2186089370527944,21.860893705279445,AMAN,0.2021354318489436,0.3730827095738144,0.3447390764348892,0.3161740735731341
2023-01,331785,720164.0,15250.047619047618,43.432,37.72,-10.386000000000005,49.04933333333332,2.202,2.38,5.28,11677825.0,45.16,0.4092993123057001,19.895287958115183,75.91623036649214,4.18848167539267,-0.1205775082433019,-0.2263929007634407,110594.0,332153.0,311587.3333333333,0.9610101814483556,0,221.25871203626127,-0.0222676104381054,1,0,0,8.549999999999997,501206.1666666667,377276.0,305244.0,53.818000000000005,0.4974040858361913,22193.50000000004,-0.040838419872527,-205.56709956709844,0,66.2,0.4649222939794136,0.3232338114886799,0.237511865287551,0.4064284673173509,0.2709387348127107,0.1899188249982662,0.3244239186674552,0.4304096475414932,0.2404908225432269,0.3786594554251523,37.86594554251523,WASPADA,0.1899188249982662,0.4064284673173509,0.35067419117710197,0.3244239186674552
2023-02,323510,629282.0,15129.65,42.068,37.72,-1.3640000000000043,46.43933333333333,2.244,2.38,5.47,11677825.0,45.16,0.4966518143339762,14.285714285714285,80.15873015873017,5.555555555555555,-0.0249408502494085,-0.1261962552974045,245.95419847328245,344190.3333333333,319395.8333333333,0.7730081617964473,0,242.8579997296842,-0.0078949011868815,2,0,0,0.0,501206.1666666667,331785.0,287398.0,43.432,0.4092993123057001,-26882.999999999985,-0.0003761357511074,-233.85681818181715,0,64.55,0.3966196088179338,0.4379977989708754,0.1863839228474904,0.443251912438616,0.2709387348127107,0.2231668571655815,0.3543431058238765,0.4800149188785977,0.2568480617130162,0.3774852871603135,37.74852871603135,WASPADA,0.2231668571655815,0.443251912438616,0.3754768268456542,0.3543431058238765
2023-03,370695,665751.0,15272.619047619048,41.61,37.72,-0.4579999999999984,42.36999999999999,2.286,2.38,4.97,11677825.0,45.16,0.4109594033736932,19.73684210526316,73.68421052631578,6.578947368421052,0.1458532966523447,0.0579533500084223,24.35533515731874,341996.6666666667,332651.3333333333,1.0841314984956996,0,76.8604846852685,0.0094495938517447,3,0,0,0.0,501206.1666666667,323510.0,377276.0,42.068,0.4966518143339762,19455.000000000076,0.0008300455339965,11.285714285717749,0,73.96,0.2746402434996807,0.3660872093651082,0.2362291719568403,0.3168404816087308,0.2709387348127107,0.1875757378663913,0.310656666091073,0.4672717100764593,0.279695972210068,0.300864162330032,30.08641623300321,WASPADA,0.1875757378663913,0.3168404816087308,0.369105222444585,0.310656666091073
2023-04,411510,900880.0,14829.285714285714,45.244,37.72,3.634,42.97399999999999,2.324,2.38,4.33,11677825.0,45.16,0.4913627314706181,15.69767441860465,81.3953488372093,2.9069767441860463,0.110103993849391,0.3531785907944562,6.054255592697351,368571.6666666667,350362.3333333333,1.4218059032793762,0,226.27538426783784,-0.0290279834749396,4,0,0,0.0,501206.1666666667,370695.0,331785.0,41.61,0.4109594033736932,44000.00000000006,-0.002644541431679,-150.1821428571448,0,82.1,0.3001720157856639,0.3146652986995299,0.1959135002175042,0.4813225810189142,0.2709387348127107,0.4481906250864791,0.4024937896057304,0.4813225810189142,0.2103838462062034,0.3138338397213278,31.383383972132776,WASPADA,0.4481906250864791,0.4813225810189142,0.3402309761587641,0.4024937896057304
