date,avg_tone,article_count,risk_article_count,crime_count
2014-03-01,2.05728804334744,1291,0,40
2014-04-01,1.544706253064796,1556,7,42
2014-05-01,1.9473031984348483,1462,11,107
2014-06-01,2.800545218373104,1097,0,74
2014-07-01,2.3809264595808024,886,7,83
2014-08-01,1.8445222744928813,3141,3,442
2014-09-01,1.9700212570226905,1420,12,117
2014-10-01,2.1803696755610367,1975,4,262
2014-11-01,2.7263512578055686,1175,6,76
2014-12-01,2.310138740290048,1556,191,73
2015-01-01,1.9615773347210008,3199,1,423
2015-02-01,-0.9190373873931328,5939,6,474
2015-03-01,-3.8539762549281127,7492,63,509
2015-04-01,-4.583767550244518,8235,71,809
2015-05-01,-3.5614353624497905,3341,9,235
2015-06-01,-2.922878193176308,2192,3,144
2015-07-01,-2.844968066501336,2255,13,150
2015-08-01,-2.6033352206550626,1649,5,113
2015-09-01,-2.7171653364987143,1827,10,187
2015-10-01,-3.610864021537462,3009,5,203
2015-11-01,-3.211324970438629,3450,11,272
2015-12-01,-3.8383011727502776,1844,7,269
2016-01-01,-4.223590412066431,2527,11,428
2016-02-01,-2.755156400778674,1595,8,130
2016-03-01,-2.1416743426416205,1643,9,113
2016-04-01,-2.1962914802295272,1241,8,92
2016-05-01,-2.240216979534237,1437,18,122
2016-06-01,-1.4526024998486458,1178,29,91
2016-07-01,-3.3728299087695,1174,4,122
2016-08-01,-4.697116705664651,3666,1,580
2016-09-01,-3.591733197621061,2122,29,300
2016-10-01,-3.1681987469715973,2077,23,176
2016-11-01,-3.4353286466507384,2150,31,271
2016-12-01,-3.026094468960288,2093,26,235
2017-01-01,-2.299584457040616,1674,21,119
2017-02-01,-1.929275348491604,2088,10,125
2017-03-01,-1.89555510801323,3657,27,268
2017-04-01,-1.51562535640353,1281,12,91
2017-05-01,-2.7395874190772256,3229,38,179
2017-06-01,-2.54015432829812,2004,33,164
2017-07-01,-1.0394720483327378,912,26,43
2017-08-01,-1.7557691024537567,1194,42,75
2017-09-01,-3.4725326802545124,2677,834,123
2017-10-01,-2.370879200495321,1678,247,64
2017-11-01,-3.25900679090108,3583,1080,201
2017-12-01,-3.1816824472667617,2340,356,86
2018-01-01,-2.05730920398853,964,99,52
2018-02-01,-2.489368266261058,1331,92,132
2018-03-01,-1.5960088324177637,1738,31,70
2018-04-01,-1.6813642514807503,1534,22,46
2018-05-01,-4.685174815916166,1752,51,358
2018-06-01,-2.13887082363911,1630,131,117
2018-07-01,-1.2326947288289043,1078,63,75
2018-08-01,-3.094109222285563,2571,37,140
2018-09-01,-0.2901572651561338,1444,31,67
2018-10-01,-0.7472537611857489,5269,15,74
2018-11-01,-2.405855549914288,2700,19,94
2018-12-01,-1.3323310900876644,1070,35,45
2019-01-01,-3.446453847117353,2047,22,149
2019-02-01,-4.152439427123558,966,22,72
2019-03-01,-1.878570745021944,778,24,72
2019-04-01,-1.0170153826298982,1008,43,80
2019-05-01,-1.6594664248629127,1179,60,63
2019-06-01,-1.285774031048004,862,38,45
2019-07-01,-2.086634835111141,1299,70,88
2019-08-01,-1.900190926853991,1302,2,62
2019-09-01,-3.1772623839718066,1143,9,45
2019-10-01,-3.0742663045012715,1149,15,88
2019-11-01,-2.2669951771739374,1131,3,89
2019-12-01,-2.845485981446198,981,7,83
2020-01-01,-1.491850728895295,762,15,39
2020-02-01,-2.952416962057717,1085,16,44
2020-03-01,-2.249619109368146,1175,15,47
2020-04-01,-2.603501437780076,676,12,29
2020-05-01,-2.128874315203277,778,6,37
2020-06-01,-2.8721767444109534,962,12,37
2020-07-01,-2.853526354383896,1243,21,70
2020-08-01,-1.545750045774679,1112,33,30
2020-09-01,-3.009408321723803,559,12,20
2020-10-01,-2.489820790828145,413,1,19
2020-11-01,-2.93288434185591,473,10,14
2020-12-01,-2.094167475671733,463,8,48
2021-01-01,-4.943244806575932,1779,9,179
2021-02-01,-3.4405889610546776,608,0,50
2021-03-01,-3.1802313323600258,777,5,121
2021-04-01,-2.310615923662329,1414,6,60
2021-05-01,-1.6126775850695931,552,2,12
2021-06-01,-0.87982762907231,570,0,29
2021-07-01,-2.894051698410177,1024,2,100
2021-08-01,-3.182354463777689,924,27,84
2021-09-01,-2.459744125957212,931,7,129
2021-10-01,-2.2315799163945043,1211,14,56
2021-11-01,-3.2052387664934274,1089,8,87
2021-12-01,-0.4579675642347319,611,2,21
2022-01-01,-3.155345338499825,812,0,90
2022-02-01,-1.2993716568397664,894,19,27
2022-03-01,-0.3558793976578883,1297,21,28
2022-04-01,-0.6360600094934379,876,3,28
2022-05-01,-0.7914647953225248,1071,16,45
2022-06-01,0.1008756144698841,1530,2,23
2022-07-01,-1.7467047719173197,3897,6,72
2022-08-01,-1.433012801466697,1654,1,47
2022-09-01,0.190898155453564,1576,10,56
2022-10-01,-0.278774062729151,1364,13,92
2022-11-01,-0.3176404167632085,5616,23,70
2022-12-01,-2.065598412672887,2202,1,107
2023-01-01,-0.3861050777950598,849,23,35
2023-02-01,-1.4914577062323289,667,16,24
2023-03-01,-0.6947149065833641,1172,30,44
2023-04-01,-2.162340929141938,1348,70,61
2023-05-01,-0.8862587420085036,1290,40,30
2023-06-01,-2.392796729897465,1794,11,137
2023-07-01,0.0696271317184709,1180,20,32
2023-08-01,-0.061888453066409,1100,12,33
2023-09-01,-0.3101696169498544,1226,7,31
