date,gdelt_crisis_score,economic_risk_score,trend_risk_score,disaster_risk_score,gdelt_crisis_score_ma3,disaster_risk_score_ma3,economic_risk_score_ma3,gdelt_crisis_score_slope3m,disaster_risk_score_slope3m,economic_risk_score_slope3m,gdelt_crisis_score_zscore,disaster_risk_score_zscore,external_risk_avg,external_risk_max,external_risk_range
2014-03-01,0.1867445660201732,0.1981141710116517,0.5142040156648225,0.0749075410881709,0.1977280072263682,0.08942912645508494,0.1981141710116517,-0.012039064673973851,-0.017291956171546254,0.0,-0.04920424726956341,0.2828001028764083,0.2434925734462046,0.5142040156648225,0.43929647457665166
2014-04-01,0.2280058604004746,0.1981141710116517,0.4141232050724187,0.0256063468063532,0.20345572890381947,0.06146742424678153,0.1981141710116517,0.016194550054832002,-0.029141019019733646,0.0,1.1179432588806697,-0.9597929514230473,0.21646239582272453,0.4141232050724187,0.38851685826606547
2014-05-01,0.222313350779505,0.1981141710116517,0.3643936097470006,0.0181084411657283,0.21235459240005095,0.03954077635341747,0.1981141710116517,0.017784392379665906,-0.0283995499612213,0.0,0.8937922068470949,-1.0041459208428065,0.20073239317597139,0.3643936097470006,0.3462851685812723
2014-06-01,0.1534857621672875,0.1981141710116517,0.3985827065332257,0.0249461911187141,0.20126832444908904,0.0228869930302652,0.1981141710116517,-0.03726004911659356,-0.0003300778438195505,0.0,-1.0742064428638713,-0.7510528985166788,0.19378220770771976,0.3985827065332257,0.3736365154145116
2014-07-01,0.1952496094988571,0.1981141710116517,0.3233666936035309,0.0288480300406739,0.1903495741485499,0.0239675541083721,0.1981141710116517,-0.013531870640323948,0.0053697944374728,0.0,0.07123264178024777,-0.6577242372557677,0.1863946260386784,0.3233666936035309,0.294518663562857
2014-08-01,0.2001557220144447,0.1981141710116517,0.2919127245602039,0.0304942865904256,0.18296369789352976,0.028096169249937866,0.1981141710116517,0.023334979923578608,0.0027740477358557496,0.0,0.11078114375265835,-0.6320441491146686,0.18016922604418148,0.2919127245602039,0.2614184379697783
2014-09-01,0.2250717654486546,0.1981141710116517,0.4125691552184994,0.0203123702180417,0.2068256989873188,0.02655156228304707,0.1981141710116517,0.01491107797489874,-0.0042678299113161,0.0,1.2353599126831936,-0.8436885006068399,0.21401686547421184,0.4125691552184994,0.3922567850004577
2014-10-01,0.1812369866772039,0.1981141710116517,0.4299745135823958,0.0278267037675688,0.20215482471343438,0.026211120192012032,0.1981141710116517,-0.009459367668620405,-0.0013337914114283991,0.0,-0.47492504075799563,-0.6718060909288808,0.20928809375970506,0.4299745135823958,0.402147809814827
2014-11-01,0.1776055685429848,0.1981141710116517,0.4319015354012556,0.0277394369573097,0.19463810688961444,0.0252928369809734,0.1981141710116517,-0.0237330984528349,0.0037135333696340003,0.0,-0.7066233450877215,-0.5642816063838788,0.20884017797830046,0.4319015354012556,0.4041620984439459
2014-12-01,0.6754301623167859,0.1981141710116517,0.3867719276434389,0.1819566762020095,0.34475757251232486,0.07917427230896266,0.1981141710116517,0.24709658781979096,0.07706498621722035,0.0,3.136575578129098,2.552978851462149,0.3605682342934715,0.6754301623167859,0.49347348611477637
2015-01-01,0.192300672183347,0.2263888123083119,0.3917448871759806,0.0680638212117442,0.3484454676810393,0.09258664479035446,0.20753905144387177,0.007347551820181111,0.020162192127217253,0.014137320648330093,-0.31286317544614667,0.3608471318742809,0.2196245482198459,0.3917448871759806,0.3236810659642364
2015-02-01,0.3240424370992011,0.2263888123083119,0.4396096226766954,0.0718993909426475,0.397257757199778,0.10730662945213372,0.21696393187609184,-0.17569386260879238,-0.055028642629681004,0.014137320648330093,0.5457659146514373,0.4697796125379209,0.265485065756714,0.4396096226766954,0.36771023173404793
2015-03-01,0.4844229667889022,0.2263888123083119,0.4154907689438678,0.0446098247022491,0.33358869202381675,0.06152434561888026,0.2263888123083119,0.14606114730277758,-0.01172699825474755,0.0,1.3690663455757797,-0.06380224627701345,0.2927280931858327,0.4844229667889022,0.43981314208665306
2015-04-01,0.5190332438916487,0.2263888123083119,0.368123329396407,0.0841688196551831,0.4424995492599173,0.06689267843335989,0.2263888123083119,0.09749540339622381,0.0061347143562677986,0.0,1.3124615877342947,0.6843071782030934,0.29942855131288765,0.5190332438916487,0.43486442423646565
2015-05-01,0.4491403300870034,0.2263888123083119,0.3518368869273327,0.0300152962567757,0.484198846922518,0.05293131353806929,0.2263888123083119,-0.017641318350949398,-0.0072972642227366975,0.0,0.7736571218935423,-0.5115599456584502,0.26434533139485594,0.4491403300870034,0.4191250338302277
2015-06-01,0.4151686772625276,0.2263888123083119,0.3560017405358364,0.0295913240396123,0.4611140837470599,0.04792514665052369,0.2263888123083119,-0.05193228331456057,-0.027288747807785393,0.0,0.468031648521298,-0.5321351359755253,0.25678763853657205,0.4151686772625276,0.3855773532229153
2015-07-01,0.4241710419142583,0.2263888123083119,0.3180829241002051,0.0286878430554812,0.42949334975459647,0.029431487783956392,0.2263888123083119,-0.012484644086372537,-0.0006637266006472506,0.0,0.4194631787405071,-0.5516091252141849,0.24933265534456414,0.4241710419142583,0.3954831988587771
2015-08-01,0.4076460137916798,0.2263888123083119,0.2936532603965934,0.0277161569193772,0.41566191098948857,0.028665108004823556,0.2263888123083119,-0.003761331735423895,-0.0009375835601175501,0.0,0.2221535443294276,-0.5661857608942469,0.23885106085399058,0.4076460137916798,0.37992985687230263
2015-09-01,0.4226838087527013,0.2263888123083119,0.3671908994840555,0.0273652248518314,0.4181669548195465,0.027923074942229925,0.2263888123083119,-0.0007436165807785111,-0.0006613091018248998,0.0,0.22259493935580524,-0.5922575510648075,0.26090718634922505,0.4226838087527013,0.3953185839008699
2015-10-01,0.4471479891050333,0.2263888123083119,0.3662584695717039,0.0282500173195899,0.42582593721647144,0.02777713303026616,0.2263888123083119,0.01975098765667674,0.00026693020010634845,0.0,0.26391847160433435,-0.5737462345833767,0.26701132207615974,0.4471479891050333,0.4188979717854434
