date,gdelt_crisis_score,avg_tone,risk_ratio,trend_composite,trend_risk_score,trend_drop_flag,economic_index,economic_risk_score,eq_count,eq_max_magnitude,eq_seismic_energy,eq_risk_score,wx_precip_sum,wx_humidity_mean,bmkg_max_magnitude_30d,bmkg_seismic_energy,earthquake_count,earthquake_count_m5_plus,pvmbg_volcano_status,volcano_status_agung,volcano_status_batur,bmkg_extreme_weather_days,weather_max_rain,weather_max_wind_speed,weather_max_wind_gust,weather_max_temperature,eq_count_log,eq_m5plus_log,rain_log,disaster_risk_score
2010-10-01,0.07747575129319852,5.1600187536747,0.007259528130671506,21.930434782608693,0.6094361907129981,0,5.627735386354515,0.01238697834695579,5,5.3,100729578.77081287,0.010388164023229176,237.3,89.90322580645162,5.3,89125093.8133744,5,1,1,0,1,1,20.2,17.2,38.5,29.8,1.791759469228055,0.6931471805599453,3.054001181677967,0.13662543794433168
2010-11-01,0.026181455842522676,5.645501384147443,0.0,22.119565217391305,0.6040280972213589,0,5.627735386354515,0.01238697834695579,8,4.8,36171610.46691829,0.01627108225294405,261.7,89.2,4.8,15848931.924611108,8,0,1,0,1,1,35.9,14.1,32.0,29.7,2.1972245773362196,0.0,3.6082115510464816,0.1349709678305538
2010-12-01,0.04265666205374237,5.27731871345726,0.0,20.391304347826086,0.6534468825759931,0,5.627735386354515,0.01238697834695579,6,5.6,406517699.1232094,0.016830992078873324,355.9,90.87096774193549,5.6,251188643.1509572,6,2,0,0,0,6,30.3,20.1,44.6,29.0,1.9459101490553132,1.0986122886681096,3.4436180975461075,0.09136585759609936
2011-01-01,0.3112764958685816,4.767403999696248,0.0603448275862069,27.37391304347826,0.4537825573444396,0,4.0725022707905225,0.20244843259265966,7,4.6,31137268.438855767,0.01394650737925816,380.7,91.54838709677419,4.6,7943282.347242805,7,0,0,0,0,5,25.0,21.3,60.1,29.3,2.0794415416798357,0.0,3.258096538021482,0.10658490129675054
2011-02-01,0.09377161738356803,4.878717111370354,0.008169934640522876,24.33695652173913,0.5406228631814509,0,4.0725022707905225,0.20244843259265966,9,5.2,114322178.56919618,0.019596845315721274,321.0,89.96428571428571,5.2,63095734.44801943,9,1,0,0,0,6,38.5,23.6,48.2,29.1,2.302585092994046,0.6931471805599453,3.676300671907076,0.10183966224196671
2011-03-01,0.05559073037820436,4.988272266478847,0.0,24.27173913043478,0.5424877230061541,0,4.0725022707905225,0.20244843259265966,12,6.5,5698252896.583476,0.10282511440117603,295.9,90.83870967741936,6.5,5623413251.903491,12,1,0,0,0,1,22.8,18.8,44.6,28.6,2.5649493574615367,0.6931471805599453,3.169685580677429,0.09902877953126943
2011-04-01,0.11312271784534843,5.525745810569651,0.020028612303290415,26.97826086956522,0.4650960402809722,0,4.0725022707905225,0.20244843259265966,5,4.8,32004206.45327609,0.009447100257364387,268.8,91.93333333333334,4.8,15848931.924611108,5,0,0,0,0,0,17.6,15.9,34.9,28.8,1.791759469228055,0.0,2.9231615807191558,0.020598821678156066
2011-05-01,0.034299092508583394,5.781264464330286,0.003484320557491289,24.939130434782616,0.5234039908000248,0,4.0725022707905225,0.20244843259265966,7,5.7,432553840.8975943,0.019443146809790035,244.5,89.64516129032258,5.7,354813389.23357606,7,2,0,0,0,3,64.9,20.3,38.2,28.4,2.0794415416798357,1.0986122886681096,4.188138441508461,0.08328260374446697
2011-06-01,0.04731623669761565,5.285154537682743,0.0012300123001230013,27.5,0.45017716168334676,0,4.0725022707905225,0.20244843259265966,9,4.7,35669527.85818658,0.01851984628061436,44.0,85.33333333333333,4.7,11220184.543019652,9,0,0,0,0,0,8.1,20.2,42.1,28.1,2.302585092994046,0.0,2.2082744135228043,0.02708325813024843
2011-07-01,0.04531589195282173,5.473769594591743,0.0028109627547434997,28.17391304347826,0.43090694349474734,0,4.0725022707905225,0.20244843259265966,5,4.6,20955567.164272908,0.009295810075203557,34.5,83.80645161290323,4.6,7943282.347242805,5,0,0,0,0,0,6.5,24.0,50.0,27.9,1.791759469228055,0.0,2.0149030205422647,0.04027512798101844
2011-08-01,0.07134299351911721,4.978030847883389,0.0037546933667083854,27.652173913043477,0.44582582209237276,0,4.0725022707905225,0.20244843259265966,2,4.5,8441796.18316794,0.0023575403971447164,8.8,78.0,4.5,5623413.251903491,2,0,0,0,0,0,3.7,22.8,48.2,30.1,1.0986122886681096,0.0,1.547562508716013,0.03506821639613886
2011-09-01,0.1059813178686348,4.762161482860689,0.009887005649717515,27.130434782608695,0.4607447006899982,0,4.0725022707905225,0.20244843259265966,5,5.2,91869020.42540832,0.010266835464023053,27.9,78.46666666666667,5.2,63095734.44801943,5,1,0,0,0,0,3.4,21.5,45.0,29.9,1.791759469228055,0.6931471805599453,1.4816045409242156,0.029576214145562597
2011-10-01,0.07513877997417545,4.551418668729799,0.0,22.97391304347826,0.5795984335177473,0,4.0725022707905225,0.20244843259265966,5,6.1,1449552740.4110444,0.028857741723209276,68.3,80.96774193548387,6.1,1412537544.6227496,5,1,0,0,0,0,7.5,17.9,39.6,31.0,1.791759469228055,0.6931471805599453,2.1400661634962708,0.034688317105795174
