month,avg_sentiment,pct_positive,pct_negative,pct_neutral,review_count,avg_rating
2016-04,0.6066202138151441,85.71428571428571,14.285714285714285,0.0,7,4.666666666666667
2016-05,0.2879981572429339,66.66666666666666,25.0,8.333333333333332,12,4.333333333333333
2016-06,0.5393096844355265,80.0,6.666666666666667,13.333333333333334,15,4.888888888888889
2016-07,0.4437444171597881,80.64516129032258,12.903225806451612,6.451612903225806,31,4.217391304347826
2016-08,0.28692900350219325,68.42105263157895,26.31578947368421,5.263157894736842,19,3.642857142857143
2016-09,0.24649303257465363,56.666666666666664,16.666666666666664,26.666666666666668,30,3.9444444444444446
2016-10,0.38274151444435117,72.0,16.0,12.0,25,3.9375
2016-11,0.41158453481537954,75.0,17.857142857142858,7.142857142857142,28,4.318181818181818
2016-12,0.2827504798769951,63.888888888888886,27.77777777777778,8.333333333333332,36,4.033333333333333
2017-01,0.44709185014168423,80.55555555555556,16.666666666666664,2.7777777777777777,36,4.344827586206897
2017-02,0.6090223740886997,86.48648648648648,5.405405405405405,8.108108108108109,37,4.625
2017-03,0.4981160588336713,78.78787878787878,12.121212121212121,9.090909090909092,33,4.32
2017-04,0.47467053598827785,77.77777777777779,11.11111111111111,11.11111111111111,45,4.3
2017-05,0.5620910493617363,82.97872340425532,10.638297872340425,6.382978723404255,47,4.4
2017-06,0.47486224281983297,73.77049180327869,13.114754098360656,13.114754098360656,61,4.280701754385965
2017-07,0.3253934627605809,68.05555555555556,23.61111111111111,8.333333333333332,72,3.971014492753623
2017-08,0.509775429074444,82.08955223880598,13.432835820895523,4.477611940298507,67,4.311475409836065
2017-09,0.5387596505028861,78.57142857142857,15.714285714285714,5.714285714285714,70,4.311475409836065
2017-10,0.49577170700737927,78.78787878787878,13.636363636363635,7.575757575757576,66,4.285714285714286
2017-11,0.5008219519958776,76.47058823529412,11.76470588235294,11.76470588235294,68,4.327586206896552
2017-12,0.5300652220541117,75.51020408163265,8.16326530612245,16.3265306122449,49,4.319148936170213
2018-01,0.534392296929251,82.95454545454545,10.227272727272728,6.8181818181818175,88,4.494252873563219
2018-02,0.5181239078173766,81.08108108108108,12.162162162162163,6.756756756756757,74,4.352941176470588
2018-03,0.5046781482903854,77.17391304347827,11.956521739130435,10.869565217391305,92,4.533333333333333
2018-04,0.5044179694520102,76.66666666666667,10.0,13.333333333333334,90,4.379310344827586
2018-05,0.5508369421495974,81.55339805825243,8.737864077669903,9.70873786407767,103,4.404255319148936
2018-06,0.5406555021104734,82.64462809917356,10.743801652892563,6.6115702479338845,121,4.504504504504505
2018-07,0.5213536155911592,82.6923076923077,12.5,4.807692307692308,104,4.395604395604396
2018-08,0.4308086290503993,75.0,20.454545454545457,4.545454545454546,132,4.410256410256411
2018-09,0.4988092643425877,78.94736842105263,13.533834586466165,7.518796992481203,133,4.470588235294118
2018-10,0.4958914823892738,80.67226890756302,15.126050420168067,4.201680672268908,119,4.446601941747573
2018-11,0.43244622349739076,75.83333333333333,15.833333333333332,8.333333333333332,120,4.442477876106195
2018-12,0.4126226736767457,73.26732673267327,18.81188118811881,7.920792079207921,101,4.255102040816326
2019-01,0.39529644653021573,73.49397590361446,20.481927710843372,6.024096385542169,83,4.434210526315789
2019-02,0.5362493567270775,80.82191780821918,8.21917808219178,10.95890410958904,73,4.537313432835821
