Date,Price,Open,High,Low,Change %
8/28/2017,"13,340.00","13,333.00","13,341.00","13,331.00",-0.04%
8/25/2017,"13,345.50","13,335.50","13,348.50","13,335.50",-0.01%
8/24/2017,"13,346.50","13,347.50","13,355.50","13,340.50",-0.09%
8/23/2017,"13,358.50","13,333.50","13,362.50","13,333.50",0.12%
8/22/2017,"13,343.00","13,341.00","13,347.00","13,334.00",-0.06%
8/21/2017,"13,350.50","13,354.50","13,359.50","13,347.50",-0.09%
8/18/2017,"13,362.00","13,361.00","13,370.00","13,356.00",-0.12%
8/17/2017,"13,378.50","13,378.50","13,378.50","13,378.50",0.00%
8/16/2017,"13,378.50","13,356.50","13,381.50","13,356.50",0.13%
8/15/2017,"13,361.00","13,348.00","13,361.00","13,341.00",0.09%
8/14/2017,"13,349.00","13,347.00","13,352.00","13,337.00",-0.06%
8/11/2017,"13,357.50","13,362.50","13,377.50","13,352.50",0.18%
8/10/2017,"13,334.00","13,339.00","13,351.00","13,334.00",0.01%
8/9/2017,"13,332.50","13,320.50","13,333.50","13,318.50",0.15%
8/8/2017,"13,313.00","13,320.00","13,320.00","13,301.00",-0.06%
8/7/2017,"13,321.00","13,319.00","13,322.00","13,316.00",0.04%
8/4/2017,"13,316.00","13,322.00","13,325.00","13,313.00",-0.07%
8/3/2017,"13,325.50","13,328.50","13,331.50","13,325.50",0.01%
8/2/2017,"13,324.00","13,323.00","13,334.00","13,321.00",0.00%
8/1/2017,"13,324.00","13,316.00","13,324.00","13,311.00",-0.01%
7/31/2017,"13,325.00","13,323.00","13,327.00","13,321.00",-0.01%
7/28/2017,"13,326.50","13,315.50","13,330.50","13,315.50",0.06%
7/27/2017,"13,318.00","13,311.00","13,321.00","13,310.00",-0.13%
7/26/2017,"13,336.00","13,331.00","13,341.00","13,329.00",0.08%
7/25/2017,"13,326.00","13,312.00","13,326.00","13,311.00",0.12%
7/24/2017,"13,310.00","13,315.00","13,321.00","13,306.00",-0.02%
7/21/2017,"13,312.50","13,319.50","13,325.50","13,309.50",-0.16%
7/20/2017,"13,334.50","13,314.50","13,337.50","13,312.50",0.12%
7/19/2017,"13,318.00","13,296.00","13,321.00","13,296.00",0.07%
7/18/2017,"13,309.00","13,316.00","13,319.00","13,301.00",-0.14%
7/17/2017,"13,327.50","13,302.50","13,331.50","13,302.50",-0.08%
7/14/2017,"13,338.50","13,336.50","13,349.50","13,336.50",-0.07%
7/13/2017,"13,347.50","13,349.50","13,349.50","13,329.50",-0.16%
7/12/2017,"13,369.50","13,370.50","13,372.50","13,358.50",-0.16%
7/11/2017,"13,391.00","13,386.00","13,401.00","13,381.00",-0.06%
7/10/2017,"13,399.00","13,398.00","13,413.00","13,393.00",-0.03%
7/7/2017,"13,403.00","13,381.00","13,411.00","13,376.00",0.11%
7/6/2017,"13,388.00","13,366.00","13,388.00","13,360.00",0.18%
7/5/2017,"13,364.00","13,351.00","13,364.00","13,341.00",0.00%
7/4/2017,"13,363.50","13,386.50","13,391.50","13,356.50",-0.03%
7/3/2017,"13,367.50","13,302.50","13,375.50","13,302.50",0.30%
6/30/2017,"13,327.50","13,327.50","13,327.50","13,327.50",0.00%
6/29/2017,"13,327.50","13,327.50","13,327.50","13,327.50",0.00%
6/28/2017,"13,327.50","13,327.50","13,327.50","13,327.50",0.00%
6/27/2017,"13,327.50","13,327.50","13,327.50","13,327.50",0.00%
6/26/2017,"13,327.50","13,327.50","13,327.50","13,327.50",0.00%
6/23/2017,"13,327.50","13,327.50","13,327.50","13,327.50",0.00%
6/22/2017,"13,327.50","13,310.50","13,327.50","13,307.50",0.07%
6/21/2017,"13,318.50","13,306.50","13,321.50","13,293.50",0.23%
6/20/2017,"13,288.50","13,295.50","13,301.50","13,288.50",0.00%
6/19/2017,"13,289.00","13,291.00","13,291.00","13,281.00",-0.06%
6/16/2017,"13,297.50","13,297.50","13,302.50","13,281.50",0.09%
6/15/2017,"13,286.00","13,277.00","13,286.00","13,272.00",0.03%
6/14/2017,"13,282.50","13,287.50","13,290.50","13,282.50",-0.07%
6/13/2017,"13,291.50","13,296.50","13,296.50","13,288.50",-0.05%
6/12/2017,"13,298.00","13,281.00","13,299.00","13,281.00",0.05%
6/9/2017,"13,291.50","13,301.50","13,306.50","13,284.50",-0.05%
6/8/2017,"13,298.00","13,317.00","13,322.00","13,292.00",-0.05%
6/7/2017,"13,304.00","13,306.00","13,311.00","13,301.00",0.05%
6/6/2017,"13,298.00","13,286.00","13,298.00","13,276.00",0.09%
6/5/2017,"13,286.00","13,291.00","13,291.00","13,276.00",-0.14%
6/2/2017,"13,304.00","13,301.00","13,314.00","13,301.00",-0.14%
6/1/2017,"13,322.50","13,322.50","13,322.50","13,322.50",0.00%
5/31/2017,"13,322.50","13,311.50","13,323.50","13,310.50",-0.01%
5/30/2017,"13,323.50","13,320.50","13,338.50","13,319.50",0.02%
5/29/2017,"13,321.50","13,296.50","13,322.50","13,296.50",0.20%
5/26/2017,"13,294.50","13,300.50","13,300.50","13,288.50",-0.11%
5/25/2017,"13,308.50","13,308.50","13,308.50","13,308.50",0.00%
5/24/2017,"13,308.50","13,306.50","13,321.50","13,306.50",0.05%
5/23/2017,"13,302.50","13,288.50","13,310.50","13,287.50",0.00%
5/22/2017,"13,302.50","13,292.50","13,308.50","13,282.50",-0.24%
5/19/2017,"13,335.00","13,395.00","13,420.00","13,315.00",-0.15%
5/18/2017,"13,355.50","13,337.50","13,357.50","13,327.50",0.24%
5/17/2017,"13,323.50","13,286.50","13,323.50","13,281.50",0.17%
5/16/2017,"13,300.50","13,294.50","13,308.50","13,294.50",-0.03%
5/15/2017,"13,304.00","13,316.00","13,321.00","13,298.00",-0.19%
5/12/2017,"13,329.50","13,337.50","13,347.50","13,319.50",-0.21%
5/11/2017,"13,357.50","13,357.50","13,357.50","13,357.50",0.00%
5/10/2017,"13,357.50","13,341.50","13,364.50","13,341.50",0.06%
5/9/2017,"13,350.00","13,315.00","13,353.00","13,315.00",0.30%
5/8/2017,"13,309.50","13,327.50","13,332.50","13,302.50",-0.15%
5/5/2017,"13,330.00","13,333.00","13,348.00","13,328.00",0.02%
5/4/2017,"13,327.50","13,316.50","13,333.50","13,316.50",0.17%
5/3/2017,"13,305.50","13,292.50","13,312.50","13,291.50",-0.05%
5/2/2017,"13,311.50","13,326.50","13,326.50","13,296.50",-0.13%
5/1/2017,"13,329.00","13,329.00","13,329.00","13,329.00",0.00%
4/28/2017,"13,329.00","13,317.00","13,340.00","13,317.00",0.11%
4/27/2017,"13,314.00","13,286.00","13,317.00","13,286.00",0.22%
4/26/2017,"13,285.00","13,279.00","13,287.00","13,272.00",0.06%
4/25/2017,"13,277.50","13,302.50","13,305.50","13,277.50",-0.32%
4/24/2017,"13,320.00","13,320.00","13,320.00","13,320.00",0.00%
4/21/2017,"13,320.00","13,321.00","13,324.00","13,312.00",-0.03%
4/20/2017,"13,323.50","13,321.50","13,336.50","13,315.50",0.20%
4/19/2017,"13,296.50","13,296.50","13,296.50","13,296.50",0.00%
4/18/2017,"13,296.50","13,276.50","13,301.50","13,276.50",0.08%
4/17/2017,"13,285.50","13,252.50","13,285.50","13,252.50",0.22%
4/14/2017,"13,256.50","13,256.50","13,256.50","13,256.50",0.00%
4/13/2017,"13,256.50","13,251.50","13,267.50","13,246.50",-0.14%
4/12/2017,"13,275.00","13,286.00","13,301.00","13,266.00",-0.05%
4/11/2017,"13,281.50","13,271.50","13,291.50","13,271.50",-0.04%
4/10/2017,"13,286.50","13,326.50","13,329.50","13,276.50",-0.23%
4/7/2017,"13,317.50","13,332.50","13,347.50","13,317.50",-0.13%
4/6/2017,"13,335.50","13,317.50","13,339.50","13,317.50",0.11%
4/5/2017,"13,321.00","13,326.00","13,331.00","13,316.00",-0.05%
4/4/2017,"13,328.00","13,326.00","13,330.00","13,319.00",0.04%
4/3/2017,"13,322.50","13,317.50","13,327.50","13,317.50",-0.02%
3/31/2017,"13,325.50","13,317.50","13,327.50","13,312.50",0.07%
3/30/2017,"13,316.00","13,308.00","13,328.00","13,303.00",0.02%
3/29/2017,"13,313.50","13,311.50","13,333.50","13,306.50",0.02%
3/28/2017,"13,310.50","13,310.50","13,310.50","13,310.50",0.00%
3/27/2017,"13,310.50","13,301.50","13,319.50","13,301.50",-0.12%
3/24/2017,"13,326.50","13,320.50","13,335.50","13,320.50",0.02%
3/23/2017,"13,324.50","13,325.50","13,331.50","13,320.50",-0.03%
3/22/2017,"13,329.00","13,326.00","13,339.00","13,316.00",0.08%
3/21/2017,"13,319.00","13,301.00","13,324.00","13,296.00",0.04%
3/20/2017,"13,313.50","13,331.50","13,336.50","13,306.50",-0.24%
3/17/2017,"13,345.00","13,333.00","13,356.00","13,323.00",-0.03%
3/16/2017,"13,348.50","13,323.50","13,353.50","13,323.50",-0.12%
3/15/2017,"13,365.00","13,365.00","13,380.00","13,365.00",-0.05%
3/14/2017,"13,371.50","13,356.50","13,373.50","13,356.50",0.12%
3/13/2017,"13,356.00","13,351.00","13,366.00","13,351.00",-0.17%
3/10/2017,"13,379.00","13,386.00","13,396.00","13,379.00",-0.06%
3/9/2017,"13,386.50","13,366.50","13,386.50","13,366.50",0.27%
3/8/2017,"13,350.00","13,350.00","13,353.00","13,338.00",0.02%
3/7/2017,"13,347.00","13,339.00","13,351.00","13,339.00",-0.02%
3/6/2017,"13,350.00","13,362.00","13,372.00","13,342.00",-0.24%
3/3/2017,"13,382.50","13,362.50","13,382.50","13,362.50",0.18%
3/2/2017,"13,358.50","13,361.50","13,366.50","13,351.50",-0.03%
3/1/2017,"13,362.00","13,356.00","13,366.00","13,351.00",0.19%
2/28/2017,"13,336.00","13,350.00","13,355.00","13,336.00",-0.05%
2/27/2017,"13,342.50","13,331.50","13,349.50","13,331.50",0.09%
2/24/2017,"13,330.50","13,326.50","13,337.50","13,326.50",-0.15%
2/23/2017,"13,351.00","13,356.00","13,363.00","13,344.00",-0.12%
2/22/2017,"13,367.00","13,360.00","13,368.00","13,350.00",-0.04%
2/21/2017,"13,372.50","13,367.50","13,377.50","13,360.50",0.14%
2/20/2017,"13,354.00","13,331.00","13,359.00","13,326.00",0.16%
2/17/2017,"13,332.50","13,327.50","13,337.50","13,322.50",0.09%
2/16/2017,"13,320.00","13,315.00","13,336.00","13,315.00",-0.08%
2/15/2017,"13,330.50","13,330.50","13,330.50","13,330.50",0.00%
2/14/2017,"13,330.50","13,322.50","13,334.50","13,315.50",0.03%
2/13/2017,"13,326.50","13,326.50","13,331.50","13,316.50",0.08%
2/10/2017,"13,315.50","13,315.50","13,322.50","13,303.50",0.10%
2/9/2017,"13,302.50","13,312.50","13,317.50","13,282.50",-0.17%
2/8/2017,"13,325.00","13,338.00","13,345.00","13,324.00",-0.03%
2/7/2017,"13,328.50","13,324.50","13,339.50","13,319.50",0.05%
2/6/2017,"13,322.50","13,317.50","13,334.50","13,316.50",-0.17%
2/3/2017,"13,345.00","13,365.00","13,375.00","13,340.00",-0.06%
2/2/2017,"13,352.50","13,362.50","13,377.50","13,347.50",-0.15%
2/1/2017,"13,372.50","13,342.50","13,387.50","13,337.50",0.15%
1/31/2017,"13,352.00","13,340.00","13,360.00","13,335.00",0.05%
1/30/2017,"13,345.00","13,335.00","13,358.00","13,335.00",-0.10%
1/27/2017,"13,358.50","13,356.50","13,366.50","13,346.50",0.17%
1/26/2017,"13,336.00","13,311.00","13,342.00","13,311.00",-0.18%
1/25/2017,"13,360.50","13,339.50","13,364.50","13,334.50",0.22%
1/24/2017,"13,331.00","13,339.00","13,341.00","13,304.00",-0.22%
1/23/2017,"13,360.00","13,380.00","13,385.00","13,345.00",-0.37%
1/20/2017,"13,410.00","13,395.00","13,410.00","13,375.00",0.28%
1/19/2017,"13,373.00","13,375.00","13,385.00","13,355.00",0.23%
1/18/2017,"13,342.50","13,322.50","13,342.50","13,317.50",-0.07%
1/17/2017,"13,351.50","13,351.50","13,381.50","13,331.50",-0.11%
1/16/2017,"13,366.50","13,303.50","13,368.50","13,303.50",0.26%
1/13/2017,"13,331.50","13,295.50","13,333.50","13,293.50",0.31%
1/12/2017,"13,290.00","13,285.00","13,310.00","13,265.00",-0.29%
1/11/2017,"13,329.00","13,311.00","13,331.00","13,301.00",0.11%
1/10/2017,"13,315.00","13,325.00","13,335.00","13,285.00",-0.37%
1/9/2017,"13,365.00","13,390.00","13,398.00","13,365.00",0.00%
1/6/2017,"13,365.00","13,340.00","13,365.00","13,334.00",-0.07%
1/5/2017,"13,375.00","13,405.00","13,405.00","13,315.00",-0.48%
1/4/2017,"13,440.00","13,470.00","13,485.00","13,435.00",-0.29%
1/3/2017,"13,479.50","13,461.50","13,486.50","13,461.50",0.05%
1/2/2017,"13,472.50","13,472.50","13,472.50","13,472.50",0.00%
12/30/2016,"13,472.50","13,447.50","13,472.50","13,422.50",0.07%
12/29/2016,"13,462.50","13,447.50","13,482.50","13,447.50",0.15%
12/28/2016,"13,442.50","13,412.50","13,462.50","13,412.50",-0.04%
12/27/2016,"13,447.50","13,432.50","13,447.50","13,422.50",-0.02%
12/26/2016,"13,450.00","13,450.00","13,450.00","13,450.00",0.00%
12/23/2016,"13,450.00","13,455.00","13,479.00","13,435.00",-0.02%
12/22/2016,"13,452.50","13,452.50","13,452.50","13,427.50",-0.12%
12/21/2016,"13,469.00","13,431.00","13,486.00","13,431.00",0.31%
12/20/2016,"13,427.50","13,372.50","13,427.50","13,372.50",0.33%
12/19/2016,"13,384.00","13,384.00","13,389.00","13,374.00",-0.04%
12/16/2016,"13,390.00","13,405.00","13,435.00","13,365.00",-0.06%
12/15/2016,"13,397.50","13,302.50","13,397.50","13,302.50",0.76%
12/14/2016,"13,296.00","13,284.00","13,296.00","13,274.00",-0.09%
12/13/2016,"13,307.50","13,302.50","13,315.50","13,297.50",-0.15%
12/12/2016,"13,327.50","13,327.50","13,327.50","13,327.50",0.00%
12/9/2016,"13,327.50","13,322.50","13,342.50","13,317.50",0.31%
12/8/2016,"13,286.50","13,291.50","13,311.50","13,271.50",-0.29%
12/7/2016,"13,325.00","13,355.00","13,360.00","13,315.00",-0.43%
12/6/2016,"13,382.50","13,387.50","13,419.50","13,357.50",-0.37%
12/5/2016,"13,432.50","13,512.50","13,522.50","13,402.50",-0.68%
12/2/2016,"13,525.00","13,505.00","13,535.00","13,465.00",-0.15%
12/1/2016,"13,545.00","13,575.00","13,590.00","13,545.00",-0.06%
11/30/2016,"13,552.50","13,532.50","13,572.50","13,515.50",-0.15%
11/29/2016,"13,572.50","13,502.50","13,576.50","13,502.50",0.31%
11/28/2016,"13,530.00","13,480.00","13,545.00","13,458.00",0.09%
11/25/2016,"13,517.50","13,562.50","13,577.50","13,492.50",-0.30%
11/24/2016,"13,557.50","13,502.50","13,559.50","13,501.50",0.56%
11/23/2016,"13,482.50","13,447.50","13,487.50","13,447.50",0.30%
11/22/2016,"13,442.50","13,402.50","13,450.50","13,402.50",0.13%
11/21/2016,"13,425.00","13,430.00","13,450.00","13,425.00",-0.02%
11/18/2016,"13,427.50","13,377.50","13,431.50","13,372.50",0.41%
11/17/2016,"13,372.50","13,382.50","13,399.50","13,367.50",-0.04%
11/16/2016,"13,377.50","13,352.50","13,382.50","13,332.50",0.11%
11/15/2016,"13,362.50","13,332.50","13,392.50","13,302.50",0.04%
11/14/2016,"13,357.50","13,302.50","13,377.50","13,302.50",0.53%
11/11/2016,"13,287.50","13,177.50","13,492.50","13,177.50",1.14%
11/10/2016,"13,137.50","13,112.50","13,137.50","13,107.50",0.29%
11/9/2016,"13,099.00","13,051.00","13,176.00","13,050.00",0.11%
11/8/2016,"13,084.00","13,070.00","13,091.00","13,066.00",-0.03%
11/7/2016,"13,088.00","13,072.00","13,088.00","13,071.00",0.14%
11/4/2016,"13,070.00","13,080.00","13,115.00","13,065.00",-0.04%
11/3/2016,"13,075.00","13,045.00","13,075.00","13,045.00",0.15%
11/2/2016,"13,056.00","13,041.00","13,066.00","13,040.00",0.11%
11/1/2016,"13,041.50","13,026.50","13,041.50","13,026.50",-0.05%
10/31/2016,"13,048.00","13,051.00","13,053.00","13,040.00",-0.02%
10/28/2016,"13,050.50","13,027.50","13,052.50","13,027.50",0.13%
10/27/2016,"13,033.00","13,011.00","13,033.00","13,011.00",0.20%
10/26/2016,"13,007.50","12,992.50","13,009.50","12,982.50",0.01%
10/25/2016,"13,006.00","13,019.00","13,029.00","13,004.00",-0.05%
10/24/2016,"13,013.00","13,031.00","13,051.00","13,006.00",-0.25%
10/21/2016,"13,045.00","13,015.00","13,045.00","13,010.00",0.29%
10/20/2016,"13,007.50","12,982.50","13,010.50","12,982.50",0.00%
10/19/2016,"13,007.50","13,017.50","13,017.50","12,997.50",-0.19%
10/18/2016,"13,032.00","13,022.00","13,054.00","13,022.00",-0.28%
10/17/2016,"13,068.50","13,036.50","13,071.50","13,036.50",0.18%
10/14/2016,"13,044.50","13,052.50","13,072.50","13,032.50",-0.25%
10/13/2016,"13,077.50","13,022.50","13,077.50","13,017.50",0.45%
10/12/2016,"13,018.50","13,001.50","13,026.50","13,001.50",0.05%
10/11/2016,"13,012.50","12,977.50","13,017.50","12,977.50",0.27%
10/10/2016,"12,977.50","12,952.50","12,982.50","12,952.50",-0.06%
10/7/2016,"12,985.00","13,002.00","13,007.00","12,980.00",-0.02%
10/6/2016,"12,987.00","12,991.00","12,996.00","12,981.00",-0.08%
10/5/2016,"12,997.50","13,002.50","13,013.50","12,982.50",0.12%
10/4/2016,"12,981.50","12,981.50","12,999.50","12,971.50",-0.01%
10/3/2016,"12,982.50","13,022.50","13,022.50","12,967.50",-0.52%
9/30/2016,"13,051.00","12,984.00","13,054.00","12,984.00",0.59%
9/29/2016,"12,975.00","12,940.00","12,985.00","12,930.00",0.21%
9/28/2016,"12,947.50","12,932.50","12,957.50","12,917.50",-0.06%
9/27/2016,"12,955.00","13,023.00","13,050.00","12,935.00",-0.58%
9/26/2016,"13,030.00","13,075.00","13,085.00","13,030.00",-0.36%
9/23/2016,"13,076.50","13,061.50","13,101.50","13,051.50",-0.10%
9/22/2016,"13,090.00","13,090.00","13,110.00","13,080.00",-0.35%
9/21/2016,"13,135.50","13,131.50","13,161.50","13,131.50",-0.13%
9/20/2016,"13,152.50","13,142.50","13,157.50","13,137.50",-0.03%
9/19/2016,"13,156.00","13,161.00","13,176.00","13,151.00",-0.01%
9/16/2016,"13,157.50","13,132.50","13,160.50","13,117.50",-0.13%
9/15/2016,"13,175.00","13,185.00","13,200.00","13,160.00",-0.22%
9/14/2016,"13,204.50","13,207.50","13,240.50","13,197.50",0.26%
9/13/2016,"13,170.00","13,130.00","13,193.00","13,130.00",0.54%
9/12/2016,"13,099.50","13,099.50","13,099.50","13,099.50",0.00%
9/9/2016,"13,099.50","13,082.50","13,107.50","13,071.50",0.28%
9/8/2016,"13,062.50","13,062.50","13,105.50","13,057.50",-0.17%
9/7/2016,"13,085.00","13,080.00","13,095.00","13,075.00",-0.32%
9/6/2016,"13,126.50","13,151.50","13,166.50","13,121.50",-0.20%
9/5/2016,"13,152.50","13,217.50","13,217.50","13,147.50",-0.71%
9/2/2016,"13,247.00","13,247.00","13,265.00","13,235.00",-0.16%
9/1/2016,"13,268.00","13,262.00","13,280.00","13,257.00",0.00%
8/31/2016,"13,267.50","13,282.50","13,308.50","13,256.50",-0.08%
8/30/2016,"13,277.50","13,242.50","13,277.50","13,242.50",0.09%
8/29/2016,"13,265.00","13,235.00","13,285.00","13,235.00",0.45%
8/26/2016,"13,206.00","13,226.00","13,244.00","13,206.00",-0.27%
8/25/2016,"13,241.50","13,241.50","13,271.50","13,239.50",-0.05%
8/24/2016,"13,247.50","13,232.50","13,272.50","13,232.50",0.22%
8/23/2016,"13,219.00","13,201.00","13,231.00","13,201.00",0.06%
8/22/2016,"13,211.50","13,161.50","13,236.50","13,161.50",0.41%
8/19/2016,"13,157.50","13,112.50","13,157.50","13,112.50",0.31%
8/18/2016,"13,116.50","13,100.50","13,116.50","13,090.50",0.16%
8/17/2016,"13,096.00","13,096.00","13,096.00","13,096.00",0.00%
8/16/2016,"13,096.00","13,081.00","13,104.00","13,081.00",-0.13%
8/15/2016,"13,112.50","13,117.50","13,124.50","13,102.50",-0.06%
8/12/2016,"13,121.00","13,111.00","13,123.00","13,111.00",0.03%
8/11/2016,"13,117.00","13,101.00","13,124.00","13,101.00",0.03%
8/10/2016,"13,113.50","13,111.50","13,124.50","13,111.50",-0.14%
8/9/2016,"13,132.50","13,122.50","13,135.50","13,117.50",0.02%
8/8/2016,"13,130.00","13,131.00","13,151.00","13,124.00",0.01%
8/5/2016,"13,128.50","13,118.50","13,131.50","13,114.50",-0.07%
8/4/2016,"13,137.50","13,132.50","13,149.50","13,132.50",0.10%
8/3/2016,"13,125.00","13,115.00","13,142.00","13,090.00",0.21%
8/2/2016,"13,097.50","13,062.50","13,102.50","13,062.50",0.20%
8/1/2016,"13,071.00","13,081.00","13,081.00","13,066.00",-0.21%
7/29/2016,"13,098.50","13,091.50","13,112.50","13,081.50",-0.02%
7/28/2016,"13,101.00","13,101.00","13,118.00","13,093.00",-0.30%
7/27/2016,"13,140.00","13,145.00","13,150.00","13,106.00",-0.21%
7/26/2016,"13,167.50","13,141.50","13,167.50","13,119.50",0.21%
7/25/2016,"13,140.00","13,120.00","13,145.00","13,120.00",0.24%
7/22/2016,"13,108.50","13,081.50","13,109.50","13,081.50",0.06%
7/21/2016,"13,100.00","13,125.00","13,130.00","13,090.00",-0.10%
7/20/2016,"13,112.50","13,092.50","13,122.50","13,082.50",0.18%
7/19/2016,"13,089.00","13,081.00","13,091.00","13,081.00",0.01%
7/18/2016,"13,087.50","13,102.50","13,117.50","13,087.50",-0.03%
7/15/2016,"13,091.50","13,061.50","13,094.50","13,061.50",0.07%
7/14/2016,"13,082.50","13,072.50","13,092.50","13,071.50",-0.10%
7/13/2016,"13,095.00","13,095.00","13,120.00","13,084.00",-0.19%
7/12/2016,"13,120.00","13,125.00","13,165.00","13,105.00",0.23%
