Date,Price,Open,High,Low,Change %
7/11/2016,"13,090.00","13,115.00","13,125.00","13,090.00",-0.29%
7/8/2016,"13,127.50","13,127.50","13,127.50","13,127.50",0.00%
7/7/2016,"13,127.50","13,127.50","13,127.50","13,127.50",0.00%
7/6/2016,"13,127.50","13,127.50","13,127.50","13,127.50",0.00%
7/5/2016,"13,127.50","13,127.50","13,127.50","13,127.50",0.00%
7/4/2016,"13,127.50","13,127.50","13,127.50","13,127.50",-0.10%
7/1/2016,"13,140.00","13,160.00","13,185.00","13,125.00",-0.55%
6/30/2016,"13,212.50","13,172.50","13,217.50","13,157.50",0.39%
6/29/2016,"13,161.50","13,161.50","13,201.50","13,131.50",-0.12%
6/28/2016,"13,177.50","13,307.50","13,307.50","13,157.50",-1.22%
6/27/2016,"13,340.00","13,385.00","13,520.00","13,293.00",-0.30%
6/24/2016,"13,380.00","13,244.00","13,435.00","13,244.00",0.92%
6/23/2016,"13,257.50","13,267.50","13,270.50","13,242.50",-0.20%
6/22/2016,"13,284.00","13,274.00","13,309.00","13,274.00",0.16%
6/21/2016,"13,262.50","13,252.50","13,302.50","13,252.50",-0.02%
6/20/2016,"13,265.00","13,285.00","13,285.00","13,245.00",-0.54%
6/17/2016,"13,337.50","13,352.50","13,369.50","13,332.50",-0.22%
6/16/2016,"13,367.50","13,322.50","13,367.50","13,302.50",-0.04%
6/15/2016,"13,372.50","13,382.50","13,417.50","13,357.50",0.06%
6/14/2016,"13,365.00","13,270.00","13,390.00","13,265.00",0.65%
6/13/2016,"13,278.50","13,326.50","13,341.50","13,266.50",-0.14%
6/10/2016,"13,297.50","13,282.50","13,317.50","13,282.50",0.25%
6/9/2016,"13,265.00","13,215.00","13,270.00","13,205.00",0.00%
6/8/2016,"13,265.00","13,245.00","13,275.00","13,205.00",-0.04%
6/7/2016,"13,270.00","13,375.00","13,385.00","13,260.00",-0.80%
6/6/2016,"13,377.50","13,502.50","13,502.50","13,367.50",-1.57%
6/3/2016,"13,591.50","13,621.50","13,641.50","13,586.50",-0.41%
6/2/2016,"13,647.50","13,671.50","13,700.50","13,642.50",-0.09%
6/1/2016,"13,660.00","13,655.00","13,695.00","13,645.00",0.00%
5/31/2016,"13,660.00","13,625.00","13,660.00","13,595.00",0.11%
5/30/2016,"13,645.00","13,610.00","13,655.00","13,610.00",0.46%
5/27/2016,"13,583.00","13,557.00","13,587.00","13,557.00",-0.15%
5/26/2016,"13,603.50","13,616.50","13,636.50","13,591.50",-0.38%
5/25/2016,"13,655.00","13,655.00","13,685.00","13,615.00",-0.26%
5/24/2016,"13,690.00","13,565.00","13,695.00","13,565.00",0.79%
5/23/2016,"13,582.50","13,587.50","13,617.50","13,557.50",-0.18%
5/20/2016,"13,607.50","13,542.50","13,652.50","13,532.50",0.39%
5/19/2016,"13,555.00","13,445.00","13,560.00","13,430.00",1.24%
5/18/2016,"13,389.00","13,315.00","13,389.00","13,310.00",0.68%
5/17/2016,"13,298.50","13,293.50","13,308.50","13,267.50",-0.03%
5/16/2016,"13,302.50","13,317.50","13,332.50","13,302.50",-0.11%
5/13/2016,"13,317.50","13,302.50","13,324.50","13,297.50",0.15%
5/12/2016,"13,297.50","13,302.50","13,312.50","13,282.50",-0.06%
5/11/2016,"13,305.00","13,265.00","13,305.00","13,255.00",0.13%
5/10/2016,"13,287.50","13,322.50","13,337.50","13,262.50",-0.02%
5/9/2016,"13,290.00","13,305.00","13,305.00","13,275.00",0.37%
5/6/2016,"13,241.50","13,241.50","13,241.50","13,241.50",0.00%
5/5/2016,"13,241.50","13,241.50","13,241.50","13,241.50",0.00%
5/4/2016,"13,241.50","13,211.50","13,251.50","13,141.50",0.36%
5/3/2016,"13,194.50","13,144.50","13,196.50","13,134.50",0.11%
5/2/2016,"13,180.00","13,175.00","13,195.00","13,175.00",-0.04%
4/29/2016,"13,185.00","13,174.00","13,230.00","13,118.00",-0.01%
4/28/2016,"13,186.50","13,161.50","13,211.50","13,151.50",-0.06%
4/27/2016,"13,194.50","13,182.50","13,207.50","13,152.50",-0.04%
4/26/2016,"13,200.00","13,205.00","13,230.00","13,190.00",0.02%
4/25/2016,"13,197.50","13,202.50","13,242.50","13,192.50",0.00%
4/22/2016,"13,197.50","13,152.50","13,207.50","13,152.50",0.30%
4/21/2016,"13,157.50","13,152.50","13,187.50","13,147.50",0.13%
4/20/2016,"13,141.00","13,105.00","13,151.00","13,105.00",-0.05%
4/19/2016,"13,147.50","13,132.50","13,157.50","13,132.50",-0.21%
4/18/2016,"13,175.00","13,185.00","13,220.00","13,175.00",0.00%
4/15/2016,"13,175.00","13,175.00","13,180.00","13,145.00",-0.02%
4/14/2016,"13,177.50","13,217.50","13,252.50","13,177.50",0.13%
4/13/2016,"13,160.00","13,085.00","13,190.00","13,085.00",0.35%
4/12/2016,"13,113.50","13,116.50","13,126.50","13,106.50",-0.11%
4/11/2016,"13,127.50","13,102.50","13,139.50","13,102.50",-0.11%
4/8/2016,"13,142.50","13,162.50","13,187.50","13,137.50",-0.13%
4/7/2016,"13,160.00","13,175.00","13,212.00","13,155.00",-0.47%
4/6/2016,"13,222.50","13,212.50","13,232.50","13,172.50",0.03%
4/5/2016,"13,219.00","13,194.00","13,234.00","13,179.00",0.40%
4/4/2016,"13,166.50","13,121.50","13,176.50","13,121.50",0.05%
4/1/2016,"13,160.00","13,175.00","13,210.00","13,155.00",-0.75%
3/31/2016,"13,260.00","13,255.00","13,296.00","13,240.00",-0.06%
3/30/2016,"13,267.50","13,302.50","13,377.50","13,255.50",-0.97%
3/29/2016,"13,397.50","13,327.50","13,432.50","13,317.50",0.22%
3/28/2016,"13,367.50","13,277.50","13,367.50","13,277.50",0.87%
3/25/2016,"13,252.50","13,252.50","13,252.50","13,252.50",0.00%
3/24/2016,"13,252.50","13,202.50","13,262.50","13,152.50",0.57%
3/23/2016,"13,177.50","13,152.50","13,202.50","13,141.50",-0.02%
3/22/2016,"13,180.00","13,155.00","13,190.00","13,135.00",0.34%
3/21/2016,"13,135.00","13,125.00","13,180.00","13,125.00",0.13%
3/18/2016,"13,117.50","13,027.50","13,127.50","13,002.50",0.17%
3/17/2016,"13,095.00","13,205.00","13,205.00","13,080.00",-1.30%
3/16/2016,"13,267.50","13,162.50","13,282.50","13,132.50",0.68%
3/15/2016,"13,177.50","13,057.50","13,177.50","13,056.50",0.90%
3/14/2016,"13,060.00","12,975.00","13,060.00","12,975.00",-0.08%
3/11/2016,"13,070.00","13,105.00","13,105.00","13,065.00",-0.02%
3/10/2016,"13,072.50","13,127.50","13,162.50","13,062.50",-0.54%
3/9/2016,"13,143.00","13,143.00","13,143.00","13,143.00",0.00%
3/8/2016,"13,143.00","13,095.00","13,160.00","13,085.00",0.40%
3/7/2016,"13,090.00","13,005.00","13,090.00","12,955.00",-0.34%
3/4/2016,"13,135.00","13,155.00","13,175.00","13,110.00",-0.76%
3/3/2016,"13,235.00","13,290.00","13,290.00","13,235.00",-0.41%
3/2/2016,"13,290.00","13,295.00","13,325.00","13,255.00",-0.45%
3/1/2016,"13,350.00","13,330.00","13,380.00","13,330.00",-0.16%
2/29/2016,"13,372.00","13,380.00","13,410.00","13,371.00",0.01%
2/26/2016,"13,370.00","13,380.00","13,406.00","13,360.00",-0.30%
2/25/2016,"13,410.50","13,384.50","13,434.50","13,384.50",-0.01%
2/24/2016,"13,412.50","13,427.50","13,457.50","13,407.50",-0.09%
2/23/2016,"13,425.00","13,405.00","13,435.00","13,380.00",-0.09%
2/22/2016,"13,437.50","13,482.50","13,490.50","13,422.50",-0.43%
2/19/2016,"13,495.00","13,505.00","13,565.00","13,495.00",0.00%
2/18/2016,"13,495.00","13,455.00","13,505.00","13,435.00",-0.11%
2/17/2016,"13,510.00","13,445.00","13,515.00","13,445.00",0.82%
2/16/2016,"13,400.00","13,305.00","13,415.00","13,295.00",0.19%
2/15/2016,"13,375.00","13,460.00","13,490.00","13,375.00",-0.85%
