time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,latitude,longitude,timezone,source,extreme_weather_score,extreme_weather_category,is_extreme_weather_day,extreme_weather_reason
2009-04-10,28.6,23.5,25.6,1.0,1.0,11.3,26.6,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-11,29.1,23.1,25.5,2.1,2.1,11.2,24.8,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-12,28.4,23.3,25.4,1.7,1.7,12.0,26.6,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-13,28.9,23.5,25.2,6.1,6.1,12.4,30.6,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-14,29.3,23.6,25.3,7.2,7.2,12.9,32.4,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-15,28.6,23.2,25.5,0.4,0.4,12.3,27.0,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-16,28.5,23.3,25.2,2.8,2.8,10.0,23.0,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-17,28.3,22.9,25.2,2.8,2.8,9.4,24.8,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-18,28.8,23.1,25.4,2.8,2.8,9.0,23.0,87,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-19,28.3,23.7,25.1,9.3,9.3,12.1,29.2,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-20,28.2,23.3,24.9,9.1,9.1,8.2,27.7,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-21,28.4,22.8,24.8,3.9,3.9,9.5,26.3,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-22,28.7,23.2,24.9,6.9,6.9,5.4,28.8,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-23,29.0,22.7,24.9,5.3,5.3,10.5,28.4,89,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-24,28.5,23.0,25.1,2.0,2.0,9.0,24.5,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-25,28.8,23.5,25.6,0.9,0.9,11.4,26.3,85,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-26,28.3,23.0,25.2,0.0,0.0,10.1,25.9,87,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-27,28.2,22.8,25.3,0.3,0.3,10.0,23.4,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-28,28.3,23.0,24.9,2.4,2.4,9.7,25.6,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-29,28.3,22.9,25.1,0.0,0.0,11.6,25.6,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-04-30,28.0,23.0,24.9,1.2,1.2,15.9,32.8,86,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-01,27.3,22.4,24.3,0.0,0.0,14.0,31.7,85,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-02,27.1,22.3,24.2,1.2,1.2,16.0,34.9,85,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-03,28.0,22.4,24.7,0.0,0.0,15.9,31.7,84,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-04,27.4,22.4,24.5,3.5,3.5,16.4,33.5,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-05,27.4,22.8,24.5,4.7,4.7,13.3,29.5,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-06,28.1,23.4,25.1,2.9,2.9,13.2,27.7,88,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-07,27.9,23.1,24.8,4.9,4.9,12.2,31.3,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-08,28.0,23.5,24.8,7.5,7.5,12.0,29.9,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-09,28.0,22.8,24.5,11.7,11.7,13.0,32.0,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-10,27.5,23.0,24.4,16.3,16.3,11.7,29.9,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-11,27.4,22.7,24.4,5.6,5.6,12.1,25.2,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-12,25.6,22.8,23.9,26.5,26.5,11.8,24.8,95,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,55,HIGH,1,"Curah hujan sedang-tinggi, Hujan harian sedang"
2009-05-13,27.1,22.5,24.2,9.5,9.5,11.3,32.8,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-14,27.7,22.6,24.5,6.9,6.9,12.7,34.2,91,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-15,27.7,23.0,24.8,6.8,6.8,8.7,31.3,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-16,28.3,23.4,25.1,10.8,10.8,6.5,27.4,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-17,28.2,23.3,24.9,6.6,6.6,7.9,26.3,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-18,27.8,23.5,24.8,6.9,6.9,9.8,27.7,92,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-19,27.1,23.1,24.4,11.0,11.0,7.9,25.9,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-20,28.0,22.7,24.7,1.8,1.8,13.6,31.0,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-21,28.2,23.1,24.8,1.3,1.3,9.2,23.0,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-22,27.5,22.5,24.7,1.6,1.6,10.0,22.7,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-23,27.6,23.0,24.7,0.0,0.0,10.9,25.2,87,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-24,27.7,22.2,24.3,9.6,9.6,9.6,25.9,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-25,27.6,22.5,24.7,8.5,8.5,7.4,25.2,90,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
2009-05-26,27.5,23.0,24.5,12.5,12.5,9.4,27.4,93,-8.400702,115.184555,Asia/Makassar,Open-Meteo Historical Weather API,0,LOW,0,Normal
